time,CO2,controller,scenario,run
0.0,2090.79,actuated,high,01
900.0,1876096.0,actuated,high,01
1800.0,1977665.6,actuated,high,01
2700.0,2038111.8,actuated,high,01
3600.0,1983436.1,actuated,high,01
4500.0,2007508.6,actuated,high,01
5400.0,1994568.8,actuated,high,01
6300.0,1807837.8,actuated,high,01
7200.0,2186592.8,actuated,high,01
8100.0,2170265.2,actuated,high,01
9000.0,1991234.0,actuated,high,01
9900.0,2054573.8,actuated,high,01
10800.0,2100396.2,actuated,high,01
11700.0,2246704.8,actuated,high,01
12600.0,2092029.4,actuated,high,01
13500.0,2122434.5,actuated,high,01
0.0,2157.75,actuated,high,02
900.0,1869189.6,actuated,high,02
1800.0,2029382.2,actuated,high,02
2700.0,2092156.4,actuated,high,02
3600.0,2040526.1,actuated,high,02
4500.0,1876358.0,actuated,high,02
5400.0,1899905.8,actuated,high,02
6300.0,1818333.8,actuated,high,02
7200.0,2112870.0,actuated,high,02
8100.0,2163334.0,actuated,high,02
9000.0,2096203.5,actuated,high,02
9900.0,2046097.1,actuated,high,02
10800.0,2406071.2,actuated,high,02
11700.0,2200682.0,actuated,high,02
12600.0,2162342.5,actuated,high,02
13500.0,2145586.5,actuated,high,02
0.0,2142.05,actuated,high,03
900.0,1889325.9,actuated,high,03
1800.0,1967662.6,actuated,high,03
2700.0,1964028.8,actuated,high,03
3600.0,1881437.8,actuated,high,03
4500.0,1832313.5,actuated,high,03
5400.0,1931661.1,actuated,high,03
6300.0,1949870.0,actuated,high,03
7200.0,1948213.5,actuated,high,03
8100.0,2028454.6,actuated,high,03
9000.0,1910696.0,actuated,high,03
9900.0,1937844.4,actuated,high,03
10800.0,2121072.5,actuated,high,03
11700.0,2166192.5,actuated,high,03
12600.0,1912787.5,actuated,high,03
13500.0,2058126.8,actuated,high,03
0.0,2163.79,actuated,high,04
900.0,1934862.6,actuated,high,04
1800.0,2034544.8,actuated,high,04
2700.0,2026644.5,actuated,high,04
3600.0,1919342.4,actuated,high,04
4500.0,1850139.9,actuated,high,04
5400.0,1837854.2,actuated,high,04
6300.0,1889456.2,actuated,high,04
7200.0,1896037.0,actuated,high,04
8100.0,1955721.9,actuated,high,04
9000.0,1975558.5,actuated,high,04
9900.0,2026334.8,actuated,high,04
10800.0,2142848.5,actuated,high,04
11700.0,2149585.8,actuated,high,04
12600.0,2196744.2,actuated,high,04
13500.0,1985609.6,actuated,high,04
0.0,2132.65,actuated,high,05
900.0,1881565.2,actuated,high,05
1800.0,1914280.6,actuated,high,05
2700.0,2170581.8,actuated,high,05
3600.0,2066543.1,actuated,high,05
4500.0,2036935.0,actuated,high,05
5400.0,1834682.6,actuated,high,05
6300.0,1948257.6,actuated,high,05
7200.0,2016668.0,actuated,high,05
8100.0,1990871.0,actuated,high,05
