tiempo,semaforo_id,num_vehiculos,fase,duracion_verde
1.0,2496228891,1,0,15
1.0,cluster_12013799525_12013799526_2496228894,1,0,15
1.0,cluster_12013799527_12013799528_2190601967,1,0,15
1.0,cluster_12013799529_12013799530_473195061,1,0,15
2.0,2496228891,1,0,15
2.0,cluster_12013799525_12013799526_2496228894,1,0,15
2.0,cluster_12013799527_12013799528_2190601967,1,0,15
2.0,cluster_12013799529_12013799530_473195061,1,0,15
3.0,2496228891,1,0,15
3.0,cluster_12013799525_12013799526_2496228894,1,0,15
3.0,cluster_12013799527_12013799528_2190601967,1,0,15
3.0,cluster_12013799529_12013799530_473195061,1,0,15
4.0,2496228891,1,0,15
4.0,cluster_12013799525_12013799526_2496228894,1,0,15
4.0,cluster_12013799527_12013799528_2190601967,1,0,15
4.0,cluster_12013799529_12013799530_473195061,1,0,15
5.0,2496228891,2,0,15
5.0,cluster_12013799525_12013799526_2496228894,2,0,15
5.0,cluster_12013799527_12013799528_2190601967,2,0,15
5.0,cluster_12013799529_12013799530_473195061,2,0,15
6.0,2496228891,2,0,15
6.0,cluster_12013799525_12013799526_2496228894,2,0,15
6.0,cluster_12013799527_12013799528_2190601967,2,0,15
6.0,cluster_12013799529_12013799530_473195061,2,0,15
7.0,2496228891,2,0,15
7.0,cluster_12013799525_12013799526_2496228894,2,0,15
7.0,cluster_12013799527_12013799528_2190601967,2,0,15
7.0,cluster_12013799529_12013799530_473195061,2,0,15
8.0,2496228891,2,0,15
8.0,cluster_12013799525_12013799526_2496228894,2,0,15
8.0,cluster_12013799527_12013799528_2190601967,2,0,15
8.0,cluster_12013799529_12013799530_473195061,2,0,15
9.0,2496228891,3,0,15
9.0,cluster_12013799525_12013799526_2496228894,3,0,15
9.0,cluster_12013799527_12013799528_2190601967,3,0,15
9.0,cluster_12013799529_12013799530_473195061,3,0,15
10.0,2496228891,3,0,15
10.0,cluster_12013799525_12013799526_2496228894,2,0,15
10.0,cluster_12013799527_12013799528_2190601967,3,0,15
10.0,cluster_12013799529_12013799530_473195061,3,0,15
11.0,2496228891,3,0,15
11.0,cluster_12013799525_12013799526_2496228894,2,0,15
11.0,cluster_12013799527_12013799528_2190601967,3,0,15
11.0,cluster_12013799529_12013799530_473195061,3,0,15
12.0,2496228891,3,0,15
12.0,cluster_12013799525_12013799526_2496228894,2,0,15
12.0,cluster_12013799527_12013799528_2190601967,3,0,15
12.0,cluster_12013799529_12013799530_473195061,3,0,15
13.0,2496228891,4,0,23
13.0,cluster_12013799525_12013799526_2496228894,3,0,15
13.0,cluster_12013799527_12013799528_2190601967,4,0,23
13.0,cluster_12013799529_12013799530_473195061,4,0,21
14.0,2496228891,4,0,21
14.0,cluster_12013799525_12013799526_2496228894,2,0,15
14.0,cluster_12013799527_12013799528_2190601967,4,0,21
14.0,cluster_12013799529_12013799530_473195061,4,0,21
15.0,2496228891,4,0,21
15.0,cluster_12013799525_12013799526_2496228894,2,0,15
15.0,cluster_12013799527_12013799528_2190601967,4,0,21
15.0,cluster_12013799529_12013799530_473195061,4,0,21
16.0,2496228891,4,0,21
16.0,cluster_12013799525_12013799526_2496228894,2,0,15
16.0,cluster_12013799527_12013799528_2190601967,4,0,21
16.0,cluster_12013799529_12013799530_473195061,4,0,21
17.0,2496228891,5,0,23
17.0,cluster_12013799525_12013799526_2496228894,2,0,15
17.0,cluster_12013799527_12013799528_2190601967,4,0,21
17.0,cluster_12013799529_12013799530_473195061,5,0,21
18.0,2496228891,5,0,21
18.0,cluster_12013799525_12013799526_2496228894,2,0,15
18.0,cluster_12013799527_12013799528_2190601967,4,0,21
18.0,cluster_12013799529_12013799530_473195061,5,0,21
19.0,2496228891,5,0,21
19.0,cluster_12013799525_12013799526_2496228894,1,0,15
19.0,cluster_12013799527_12013799528_2190601967,4,0,21
19.0,cluster_12013799529_12013799530_473195061,5,0,21
20.0,2496228891,5,0,21
20.0,cluster_12013799525_12013799526_2496228894,1,0,15
20.0,cluster_12013799527_12013799528_2190601967,4,0,21
20.0,cluster_12013799529_12013799530_473195061,5,0,21
21.0,2496228891,4,0,21
21.0,cluster_12013799525_12013799526_2496228894,1,0,15
21.0,cluster_12013799527_12013799528_2190601967,4,0,21
21.0,cluster_12013799529_12013799530_473195061,4,0,21
22.0,2496228891,4,0,21
22.0,cluster_12013799525_12013799526_2496228894,0,0,15
22.0,cluster_12013799527_12013799528_2190601967,4,0,21
22.0,cluster_12013799529_12013799530_473195061,4,0,21
23.0,2496228891,3,0,15
23.0,cluster_12013799525_12013799526_2496228894,0,0,15
23.0,cluster_12013799527_12013799528_2190601967,4,0,21
23.0,cluster_12013799529_12013799530_473195061,3,0,15
24.0,2496228891,5,0,23
24.0,cluster_12013799525_12013799526_2496228894,0,0,15
24.0,cluster_12013799527_12013799528_2190601967,4,0,21
24.0,cluster_12013799529_12013799530_473195061,3,0,15
25.0,2496228891,5,0,21
25.0,cluster_12013799525_12013799526_2496228894,0,0,15
25.0,cluster_12013799527_12013799528_2190601967,5,0,23
25.0,cluster_12013799529_12013799530_473195061,3,0,15
26.0,2496228891,6,0,23
26.0,cluster_12013799525_12013799526_2496228894,0,0,15
26.0,cluster_12013799527_12013799528_2190601967,4,0,21
26.0,cluster_12013799529_12013799530_473195061,2,0,15
27.0,2496228891,6,0,21
27.0,cluster_12013799525_12013799526_2496228894,0,0,15
27.0,cluster_12013799527_12013799528_2190601967,4,0,21
27.0,cluster_12013799529_12013799530_473195061,2,0,15
28.0,2496228891,6,0,21
28.0,cluster_12013799525_12013799526_2496228894,0,0,15
28.0,cluster_12013799527_12013799528_2190601967,4,0,21
28.0,cluster_12013799529_12013799530_473195061,2,0,15
29.0,2496228891,6,0,21
29.0,cluster_12013799525_12013799526_2496228894,0,0,15
29.0,cluster_12013799527_12013799528_2190601967,4,0,21
29.0,cluster_12013799529_12013799530_473195061,2,0,15
30.0,2496228891,3,0,15
30.0,cluster_12013799525_12013799526_2496228894,0,0,15
30.0,cluster_12013799527_12013799528_2190601967,3,0,15
30.0,cluster_12013799529_12013799530_473195061,1,0,15
31.0,2496228891,3,0,15
31.0,cluster_12013799525_12013799526_2496228894,0,0,15
31.0,cluster_12013799527_12013799528_2190601967,3,0,15
31.0,cluster_12013799529_12013799530_473195061,1,0,15
32.0,2496228891,2,0,15
32.0,cluster_12013799525_12013799526_2496228894,0,0,15
32.0,cluster_12013799527_12013799528_2190601967,3,0,15
32.0,cluster_12013799529_12013799530_473195061,1,0,15
33.0,2496228891,3,0,15
33.0,cluster_12013799525_12013799526_2496228894,0,0,15
33.0,cluster_12013799527_12013799528_2190601967,3,0,15
33.0,cluster_12013799529_12013799530_473195061,1,0,15
34.0,2496228891,4,0,23
34.0,cluster_12013799525_12013799526_2496228894,0,0,15
34.0,cluster_12013799527_12013799528_2190601967,3,0,15
34.0,cluster_12013799529_12013799530_473195061,1,0,15
35.0,2496228891,3,0,15
35.0,cluster_12013799525_12013799526_2496228894,0,0,15
35.0,cluster_12013799527_12013799528_2190601967,2,0,15
35.0,cluster_12013799529_12013799530_473195061,0,0,15
36.0,2496228891,2,0,15
36.0,cluster_12013799525_12013799526_2496228894,0,0,15
36.0,cluster_12013799527_12013799528_2190601967,2,0,15
36.0,cluster_12013799529_12013799530_473195061,0,0,15
37.0,2496228891,3,0,15
37.0,cluster_12013799525_12013799526_2496228894,0,0,15
37.0,cluster_12013799527_12013799528_2190601967,1,0,15
37.0,cluster_12013799529_12013799530_473195061,0,0,15
38.0,2496228891,2,0,15
38.0,cluster_12013799525_12013799526_2496228894,0,0,15
38.0,cluster_12013799527_12013799528_2190601967,1,0,15
38.0,cluster_12013799529_12013799530_473195061,0,0,15
39.0,2496228891,2,0,15
39.0,cluster_12013799525_12013799526_2496228894,0,0,15
39.0,cluster_12013799527_12013799528_2190601967,1,0,15
39.0,cluster_12013799529_12013799530_473195061,0,0,15
40.0,2496228891,2,0,15
40.0,cluster_12013799525_12013799526_2496228894,0,0,15
40.0,cluster_12013799527_12013799528_2190601967,1,0,15
40.0,cluster_12013799529_12013799530_473195061,0,0,15
41.0,2496228891,1,0,15
41.0,cluster_12013799525_12013799526_2496228894,0,0,15
41.0,cluster_12013799527_12013799528_2190601967,1,0,15
41.0,cluster_12013799529_12013799530_473195061,0,0,15
42.0,2496228891,0,0,15
42.0,cluster_12013799525_12013799526_2496228894,0,0,15
42.0,cluster_12013799527_12013799528_2190601967,0,0,15
42.0,cluster_12013799529_12013799530_473195061,0,0,15
46.0,2496228891,3,2,15
46.0,cluster_12013799525_12013799526_2496228894,5,2,21
46.0,cluster_12013799527_12013799528_2190601967,2,2,15
46.0,cluster_12013799529_12013799530_473195061,6,2,21
47.0,2496228891,2,2,15
47.0,cluster_12013799525_12013799526_2496228894,3,2,15
47.0,cluster_12013799527_12013799528_2190601967,2,2,15
47.0,cluster_12013799529_12013799530_473195061,4,2,21
48.0,2496228891,2,2,15
48.0,cluster_12013799525_12013799526_2496228894,3,2,15
48.0,cluster_12013799527_12013799528_2190601967,2,2,15
48.0,cluster_12013799529_12013799530_473195061,4,2,21
49.0,2496228891,2,2,15
49.0,cluster_12013799525_12013799526_2496228894,3,2,15
49.0,cluster_12013799527_12013799528_2190601967,2,2,15
49.0,cluster_12013799529_12013799530_473195061,4,2,21
50.0,2496228891,2,2,15
50.0,cluster_12013799525_12013799526_2496228894,3,2,15
50.0,cluster_12013799527_12013799528_2190601967,2,2,15
50.0,cluster_12013799529_12013799530_473195061,4,2,21
51.0,2496228891,1,2,15
51.0,cluster_12013799525_12013799526_2496228894,2,2,15
51.0,cluster_12013799527_12013799528_2190601967,1,2,15
51.0,cluster_12013799529_12013799530_473195061,3,2,15
52.0,2496228891,1,2,15
52.0,cluster_12013799525_12013799526_2496228894,2,2,15
52.0,cluster_12013799527_12013799528_2190601967,1,2,15
52.0,cluster_12013799529_12013799530_473195061,3,2,15
53.0,2496228891,1,2,15
53.0,cluster_12013799525_12013799526_2496228894,2,2,15
53.0,cluster_12013799527_12013799528_2190601967,1,2,15
53.0,cluster_12013799529_12013799530_473195061,2,2,15
54.0,2496228891,0,2,15
54.0,cluster_12013799525_12013799526_2496228894,2,2,15
54.0,cluster_12013799527_12013799528_2190601967,0,2,15
54.0,cluster_12013799529_12013799530_473195061,3,2,15
55.0,2496228891,0,2,15
